,time,value
0,2021050100,98.630005
1,2021050101,100.53
2,2021050102,99.85999
3,2021050103,99.34
4,2021050104,93.64
5,2021050105,93.91999
6,2021050106,91.77999
7,2021050107,90.57
8,2021050108,87.02999
9,2021050109,81.75
10,2021050110,77.13
11,2021050111,76.01
12,2021050112,76.090004
13,2021050113,46.5
14,2021050114,56.690002
15,2021050115,54.91
16,2021050116,67.57
17,2021050117,69.82
18,2021050118,79.979996
19,2021050119,82.13999
20,2021050120,81.020004
21,2021050121,82.58
22,2021050122,85.55
23,2021050123,91.799995
24,2021050200,91.869995
25,2021050201,93.9
26,2021050202,95.60999
27,2021050203,96.729996
28,2021050204,94.15
29,2021050205,99.36
30,2021050206,100.24
31,2021050207,97.64
32,2021050208,94.25
33,2021050209,90.01
34,2021050210,86.25
35,2021050211,86.81
36,2021050212,88.369995
37,2021050213,85.6
38,2021050214,84.18
39,2021050215,83.35
40,2021050216,81.259995
41,2021050217,77.43
42,2021050218,84.88999
43,2021050219,84.119995
44,2021050220,81.19
45,2021050221,85.15
46,2021050222,93.340004
47,2021050223,98.84
48,2021050300,100.21999
49,2021050301,100.21999
50,2021050302,98.649994
51,2021050303,97.45
52,2021050304,95.32
53,2021050305,89.67
54,2021050306,75.37
55,2021050307,48.91
56,2021050308,48.059998
57,2021050309,58.29
58,2021050310,70.01
59,2021050311,74.310005
60,2021050312,76.01
61,2021050313,74.91
62,2021050314,69.590004
63,2021050315,64.77
64,2021050316,78.63
65,2021050317,64.409996
66,2021050318,51.379997
67,2021050319,59.73
68,2021050320,77.89
69,2021050321,85.24
70,2021050322,90.579994
71,2021050323,97.63
72,2021050400,99.36
73,2021050401,98.24
74,2021050402,96.130005
75,2021050403,93.54
76,2021050404,92.1
77,2021050405,90.03
78,2021050406,77.64
79,2021050407,61.32
80,2021050408,59.25
81,2021050409,59.079998
82,2021050410,58.55
83,2021050411,56.199997
84,2021050412,68.7
85,2021050413,63.62
86,2021050414,55.86
87,2021050415,57.989998
88,2021050416,61.510002
89,2021050417,62.23
90,2021050418,56.889996
